Date,Email Address,No Error,Number of Errors,Total,Error Rate,CSAT YES,CSAT Survey Count,CSAT,TeamLead,Age,Tenure,Shift
7/27/2017,julien.reyes@basil.com,898,13,911,1.43%,45,146,30.82%,Buckey Barnes,50,4,PM
8/4/2017,bernard.gana@basil.com,1024,11,1035,1.06%,96,143,67.13%,Buckey Barnes,62,9,PM
11/27/2017,hanna.luat@basil.com,588,10,598,1.67%,62,105,59.05%,Don De Marco,55,4,MID
11/18/2017,jonathan.euperio@jasondaman.com,849,16,865,1.85%,54,104,51.92%,Don De Marco,36,3,PM
9/2/2017,karlo.delacruz@tuso.com,708,6,714,0.84%,89,146,60.96%,Joey Jordison,58,1,PM
8/31/2017,portia.bautista@tuso.com,649,8,657,1.22%,21,99,21.21%,Joey Jordison,29,4,MID
12/31/2017,angelo.agbannaoag@abc.com,1005,5,1010,0.50%,91,131,69.47%,Buckey Barnes,58,5,AM
5/26/2017,michael.villegas@abc.com,1199,10,1209,0.83%,72,138,52.17%,Buckey Barnes,54,6,AM
5/29/2017,hanna.luat@tuso.com,342,18,360,5.00%,39,133,29.32%,Don De Marco,57,8,AM
1/17/2017,valesca.castro@basil.com,792,13,805,1.61%,88,92,95.65%,Joey Jordison,47,8,AM
1/29/2017,jonathan.euperio@jom.com,368,20,388,5.15%,24,109,22.02%,Buckey Barnes,61,1,MID
1/16/2017,lucky.morales@jom.com,1191,14,1205,1.16%,45,122,36.89%,Buckey Barnes,40,2,PM
1/2/2017,jonathan.euperio@tuso.com,780,19,799,2.38%,83,96,86.46%,Buckey Barnes,59,6,PM
11/12/2017,danez.bondoc@jom.com,975,16,991,1.61%,99,112,88.39%,Joey Jordison,64,9,AM
2/11/2017,joy.vargas@jasondaman.com,513,15,528,2.84%,71,113,62.83%,Buckey Barnes,41,6,MID
12/29/2017,jonathan.euperio@jom.com,407,18,425,4.24%,69,114,60.53%,Buckey Barnes,52,6,PM
8/15/2017,danez.bondoc@tuso.com,895,19,914,2.08%,72,124,58.06%,Buckey Barnes,38,5,MID
7/31/2017,joy.vargas@tuso.com,735,25,760,3.29%,61,102,59.80%,Don De Marco,26,3,PM
1/1/2017,may.lumba@abc.com,515,10,525,1.90%,27,121,22.31%,Joey Jordison,58,3,MID
2/18/2017,rey.mallari@jasondaman.com,404,28,432,6.48%,94,102,92.16%,Don De Marco,42,1,MID
1/11/2017,lucky.morales@basil.com,344,23,367,6.27%,44,145,30.34%,Buckey Barnes,48,3,MID
11/1/2017,michelle.canlas02@jasondaman.com,655,13,668,1.95%,55,142,38.73%,Don De Marco,63,2,AM
7/6/2017,archie.cortez@jasondaman.com,833,14,847,1.65%,68,94,72.34%,Joey Jordison,31,5,AM
10/8/2017,angelo.agbannaoag@jom.com,615,24,639,3.76%,91,145,62.76%,Joey Jordison,32,10,PM
4/13/2017,maria.gagarin@abc.com,962,16,978,1.64%,51,141,36.17%,Joey Jordison,24,8,AM
11/20/2017,reinerio.echauz@jom.com,482,20,502,3.98%,68,120,56.67%,Buckey Barnes,38,6,MID
5/15/2017,mark.gonzales@jom.com,1068,22,1090,2.02%,50,117,42.74%,Buckey Barnes,54,4,PM
11/18/2017,avigail.manalili@basil.com,1064,22,1086,2.03%,58,147,39.46%,Buckey Barnes,28,6,AM
2/10/2017,julien.reyes@abc.com,539,29,568,5.11%,28,119,23.53%,Buckey Barnes,42,4,PM
5/30/2017,catherin.gajelan@abc.com,808,15,823,1.82%,55,137,40.15%,Joey Jordison,60,4,PM
10/22/2017,michelle.canlas02@basil.com,935,22,957,2.30%,50,139,35.97%,Buckey Barnes,40,9,AM
3/17/2017,janessa.munoz@basil.com,986,13,999,1.30%,83,147,56.46%,Joey Jordison,46,1,MID
5/27/2017,arvin.angeles@jom.com,937,19,956,1.99%,69,91,75.82%,Joey Jordison,53,7,MID
5/2/2017,jonathan.euperio@abc.com,812,21,833,2.52%,22,130,16.92%,Don De Marco,64,7,AM
6/7/2017,hanna.luat@jom.com,398,13,411,3.16%,24,107,22.43%,Joey Jordison,50,8,AM
11/30/2017,allan.manabat@abc.com,1145,29,1174,2.47%,60,150,40.00%,Buckey Barnes,31,3,PM
10/5/2017,hanna.luat@jasondaman.com,907,57,964,5.91%,63,146,43.15%,Buckey Barnes,23,7,PM
7/14/2017,ranie.liwanag@basil.com,1017,0,1017,0.00%,28,141,19.86%,Don De Marco,39,4,MID
7/24/2017,wren.tabios@tuso.com,1048,3,1051,0.29%,34,120,28.33%,Don De Marco,51,5,AM
1/7/2017,reinerio.echauz@tuso.com,527,4,531,0.75%,82,112,73.21%,Don De Marco,62,4,AM
6/16/2017,deanly.dizon@basil.com,941,8,949,0.84%,79,134,58.96%,Don De Marco,59,1,PM
2/13/2017,reymar.gasparillo@basil.com,1101,2,1103,0.18%,33,90,36.67%,Joey Jordison,55,5,PM
4/15/2017,aljen.lizada@tuso.com,836,4,840,0.48%,36,101,35.64%,Joey Jordison,53,7,PM
2/18/2017,deanly.dizon@jom.com,882,8,890,0.90%,93,123,75.61%,Buckey Barnes,49,7,MID
2/27/2017,alexander.dula@jasondaman.com,422,9,431,2.09%,52,94,55.32%,Don De Marco,40,8,PM
4/12/2017,marion.yutuc@jasondaman.com,668,5,673,0.74%,91,119,76.47%,Joey Jordison,64,2,AM
5/30/2017,catherin.gajelan@basil.com,1191,4,1195,0.33%,98,98,100.00%,Joey Jordison,34,3,AM
8/20/2017,angelo.agbannaoag@jasondaman.com,672,9,681,1.32%,72,138,52.17%,Don De Marco,37,2,AM
9/28/2017,bill.bautista@basil.com,987,9,996,0.90%,67,122,54.92%,Joey Jordison,59,1,PM
8/10/2017,alexander.dula@basil.com,612,4,616,0.65%,74,148,50.00%,Don De Marco,46,5,AM
1/10/2017,catherin.gajelan@jasondaman.com,469,12,481,2.49%,46,132,34.85%,Don De Marco,27,4,AM
10/23/2017,calvin.martinez@basil.com,414,11,425,2.59%,58,130,44.62%,Don De Marco,36,8,MID
3/7/2017,danez.bondoc@tuso.com,996,12,1008,1.19%,51,124,41.13%,Don De Marco,47,10,PM
3/17/2017,wren.tabios@jasondaman.com,323,13,336,3.87%,47,138,34.06%,Buckey Barnes,23,4,AM
12/24/2017,maria.alindada@tuso.com,826,11,837,1.31%,79,127,62.20%,Buckey Barnes,60,2,PM
2/16/2017,marion.yutuc@tuso.com,956,10,966,1.04%,77,97,79.38%,Don De Marco,40,7,MID
11/20/2017,alexander.dula@abc.com,592,16,608,2.63%,80,114,70.18%,Don De Marco,56,1,AM
9/29/2017,jerico.alde@jasondaman.com,569,6,575,1.04%,55,121,45.45%,Joey Jordison,41,6,AM
8/31/2017,marie.aguas@tuso.com,629,8,637,1.26%,30,145,20.69%,Joey Jordison,22,5,PM
5/3/2017,catherin.gajelan@jom.com,979,5,984,0.51%,86,112,76.79%,Buckey Barnes,44,2,PM
4/7/2017,calvin.martinez@abc.com,706,10,716,1.40%,60,137,43.80%,Buckey Barnes,55,3,PM
3/5/2017,avigail.manalili@abc.com,1080,18,1098,1.64%,31,141,21.99%,Don De Marco,40,4,MID
7/30/2017,bernard.gana@basil.com,443,13,456,2.85%,77,103,74.76%,Joey Jordison,39,10,AM
8/22/2017,mark.antonio@jom.com,623,20,643,3.11%,91,111,81.98%,Buckey Barnes,28,2,AM
1/7/2017,reymar.gasparillo@jasondaman.com,478,14,492,2.85%,73,90,81.11%,Buckey Barnes,59,9,AM
10/22/2017,mark.gonzales@abc.com,560,19,579,3.28%,37,112,33.04%,Buckey Barnes,28,5,MID
11/22/2017,portia.bautista@jom.com,1138,16,1154,1.39%,95,125,76.00%,Joey Jordison,39,1,AM
12/14/2017,ranie.liwanag@jom.com,991,15,1006,1.49%,94,121,77.69%,Buckey Barnes,25,2,AM
11/1/2017,marion.yutuc@jom.com,1098,18,1116,1.61%,22,130,16.92%,Buckey Barnes,43,10,AM
11/13/2017,maria.alindada@jom.com,970,19,989,1.92%,90,125,72.00%,Buckey Barnes,43,10,AM
11/3/2017,jonathan.euperio@basil.com,658,25,683,3.66%,84,128,65.63%,Don De Marco,29,8,AM
10/5/2017,michael.villegas@basil.com,375,10,385,2.60%,36,119,30.25%,Joey Jordison,42,1,MID
5/19/2017,marie.aguas@tuso.com,1151,28,1179,2.37%,38,127,29.92%,Don De Marco,51,2,PM
11/16/2017,lucky.morales@tuso.com,1076,23,1099,2.09%,98,149,65.77%,Buckey Barnes,55,6,MID
1/3/2017,archie.cortez@jasondaman.com,660,13,673,1.93%,97,145,66.90%,Don De Marco,33,7,PM
12/4/2017,alexander.dula@abc.com,1132,14,1146,1.22%,77,128,60.16%,Joey Jordison,48,1,MID
2/14/2017,raissa.utulo@tuso.com,947,24,971,2.47%,20,129,15.50%,Joey Jordison,62,6,PM
8/16/2017,jessica.higginbottom@jasondaman.com,340,16,356,4.49%,82,106,77.36%,Joey Jordison,61,9,MID
11/13/2017,edward.malig@basil.com,1001,20,1021,1.96%,58,122,47.54%,Buckey Barnes,35,4,AM
6/9/2017,aljen.lizada@basil.com,427,22,449,4.90%,20,129,15.50%,Buckey Barnes,51,9,AM
6/11/2017,rolando.cabrera@basil.com,525,22,547,4.02%,91,136,66.91%,Buckey Barnes,61,7,AM
9/26/2017,allan.manabat@basil.com,787,29,816,3.55%,79,104,75.96%,Buckey Barnes,61,7,MID
8/27/2017,regine.samson@basil.com,812,15,827,1.81%,87,114,76.32%,Joey Jordison,58,8,MID
11/27/2017,maria.tatlonghari@jom.com,360,22,382,5.76%,50,126,39.68%,Buckey Barnes,33,1,AM
8/17/2017,deanly.dizon@jasondaman.com,397,13,410,3.17%,31,122,25.41%,Joey Jordison,57,8,MID
5/31/2017,michael.villegas@jasondaman.com,394,19,413,4.60%,68,119,57.14%,Joey Jordison,40,1,AM
7/5/2017,michael.villegas@abc.com,738,21,759,2.77%,99,142,69.72%,Don De Marco,37,2,AM
4/29/2017,portia.bautista@jasondaman.com,341,13,354,3.67%,20,103,19.42%,Joey Jordison,60,5,AM
10/18/2017,michael.villegas@jom.com,1156,29,1185,2.45%,41,129,31.78%,Buckey Barnes,29,10,PM
2/27/2017,debonaire.liwanag@jasondaman.com,809,57,866,6.58%,88,98,89.80%,Buckey Barnes,25,7,PM
